experiment_id,nr_of_subjects,is_control,questionnaire_applied_after,reference_of_experience,subject_health,quest_abbreviation,pubmed_id,doi,main_author,date_published,reference_text,abstract_text,paper_link,dosage_quantity,dosage_unit,info_induction,induction_method,injection_method,Auditory_Alterations_mean,Auditory_Alterations_std,Dread_of_Ego_Dissolution_mean,Dread_of_Ego_Dissolution_std,Oceanic_Boundlessness_mean,Oceanic_Boundlessness_std,Vigilance_Reduction_mean,Vigilance_Reduction_std,Visionary_Restructuralization_mean,Visionary_Restructuralization_std
306,24,0,300,NULL,NULL,5D-ASC(3D-OAV+2D),28551715,10.1007/s00213-017-4650-5,"Dolder PC","2017 May 27","Dolder, P.C., MÃ¼ller, F., Schmid, Y., Borgwardt, S.J. & Liechti, M.E. (2017) Direct comparison of the acute subjective, emotional, autonomic, and endocrine effects of MDMA, methylphenidate, and modafinil in healthy subjects. Psychopharmacology, , .","RATIONALE: 3,4-Methylenedioxymethamphetamine (MDMA) is used recreationally and
investigated as an adjunct to psychotherapy. Methylphenidate and modafinil are
psychostimulants that are used to treat attention-deficit/hyperactivity disorder 
and narcolepsy, respectively, but they are also misused as cognitive enhancers.
Little is known about differences in the acute effects of equally cardiostimulant
doses of these stimulant-type substances compared directly within the same
subjects.
METHODS: We investigated the acute autonomic, subjective, endocrine, and
emotional effects of single doses of MDMA (125Â mg), methylphenidate (60Â mg),
modafinil (600Â mg), and placebo in a double-blind, cross-over study in 24 healthy
participants. Acute drug effects were tested using psychometric scales, the
Facial Emotion Recognition Task (FERT), and the Sexual Arousal and Desire
Inventory (SADI).
RESULTS: All active drugs produced comparable hemodynamic and adverse effects.
MDMA produced greater increases in pupil dilation, subjective good drug effects, 
drug liking, happiness, trust, well-being, and alterations in consciousness than 
methylphenidate or modafinil. Only MDMA reduced subjective anxiety and impaired
fear recognition and led to misclassifications of emotions as happy on the FERT. 
On the SADI, only MDMA produced sexual arousal-like effects. Only MDMA produced
marked increases in cortisol, prolactin, and oxytocin. In contrast to MDMA,
methylphenidate increased subjective anxiety, and methylphenidate and modafinil
increased misclassifications of emotions as angry on the FERT. Modafinil had no
significant subjective drug effects but significant sympathomimetic and adverse
effects.
CONCLUSIONS: MDMA induced subjective, emotional, sexual, and endocrine effects
that were clearly distinct from those of methylphenidate and modafinil at the
doses used.",NULL,60,mg,"±MDMA hydrochloride (Lipomed AG, Arlesheim,Switzerland) was prepared as gelatin capsules with mannitol as the filler. Identical placebo (only mannitol) capsules were prepared. MDMA was administered in a single absolute doseof 125 mg corresponding to a relatively high dose of(mean ± SD) 1.9 ± 0.3 mg/kg body weight. Immediate-release methylphenidate tablets(10 mg, Ritalin, Novartis AG, Rotkreuz, Switzerland) were encapsulated within opaque gelatin capsules, and identical placebo capsules were prepared. Methylphenidate was administered in a single relatively high dose of 60 mg. Modafinil tablets (100 mg, TevaPharma AG, Basel, Switzerland) were encapsulated within opaque gelatin capsules, and identical placebo capsules were prepared.",Methylphenidate,"capsule (oral)",NULL,NULL,3.70,6.85,4.00,8.81,10.00,17.63,2.50,6.36
307,24,0,300,NULL,NULL,5D-ASC(3D-OAV+2D),28551715,10.1007/s00213-017-4650-5,"Dolder PC","2017 May 27","Dolder, P.C., MÃ¼ller, F., Schmid, Y., Borgwardt, S.J. & Liechti, M.E. (2017) Direct comparison of the acute subjective, emotional, autonomic, and endocrine effects of MDMA, methylphenidate, and modafinil in healthy subjects. Psychopharmacology, , .","RATIONALE: 3,4-Methylenedioxymethamphetamine (MDMA) is used recreationally and
investigated as an adjunct to psychotherapy. Methylphenidate and modafinil are
psychostimulants that are used to treat attention-deficit/hyperactivity disorder 
and narcolepsy, respectively, but they are also misused as cognitive enhancers.
Little is known about differences in the acute effects of equally cardiostimulant
doses of these stimulant-type substances compared directly within the same
subjects.
METHODS: We investigated the acute autonomic, subjective, endocrine, and
emotional effects of single doses of MDMA (125Â mg), methylphenidate (60Â mg),
modafinil (600Â mg), and placebo in a double-blind, cross-over study in 24 healthy
participants. Acute drug effects were tested using psychometric scales, the
Facial Emotion Recognition Task (FERT), and the Sexual Arousal and Desire
Inventory (SADI).
RESULTS: All active drugs produced comparable hemodynamic and adverse effects.
MDMA produced greater increases in pupil dilation, subjective good drug effects, 
drug liking, happiness, trust, well-being, and alterations in consciousness than 
methylphenidate or modafinil. Only MDMA reduced subjective anxiety and impaired
fear recognition and led to misclassifications of emotions as happy on the FERT. 
On the SADI, only MDMA produced sexual arousal-like effects. Only MDMA produced
marked increases in cortisol, prolactin, and oxytocin. In contrast to MDMA,
methylphenidate increased subjective anxiety, and methylphenidate and modafinil
increased misclassifications of emotions as angry on the FERT. Modafinil had no
significant subjective drug effects but significant sympathomimetic and adverse
effects.
CONCLUSIONS: MDMA induced subjective, emotional, sexual, and endocrine effects
that were clearly distinct from those of methylphenidate and modafinil at the
doses used.",NULL,600,mg,"±MDMA hydrochloride (Lipomed AG, Arlesheim,Switzerland) was prepared as gelatin capsules with mannitol as the filler. Identical placebo (only mannitol) capsules were prepared. MDMA was administered in a single absolute doseof 125 mg corresponding to a relatively high dose of(mean ± SD) 1.9 ± 0.3 mg/kg body weight. Immediate-release methylphenidate tablets(10 mg, Ritalin, Novartis AG, Rotkreuz, Switzerland) were encapsulated within opaque gelatin capsules, and identical placebo capsules were prepared. Methylphenidate was administered in a single relatively high dose of 60 mg. Modafinil tablets (100 mg, TevaPharma AG, Basel, Switzerland) were encapsulated within opaque gelatin capsules, and identical placebo capsules were prepared.",Modafinil,"capsule (oral)",NULL,NULL,1.59,2.54,2.50,6.36,10.30,12.73,3.10,8.32
310,24,0,75,NULL,NULL,5D-ASC(3D-OAV+2D),28556775,10.1503/jpn.160187,"Thiebes S","2017 Jun","Thiebes, S., Leicht, G., Curic, S., Steinmann, S., Polomac, N., Andreou, C., Eichler, I., Eichler, L., ZÃ¶llner, C., Gallinat, J., Hanganu-Opatz, I. & Mulert, C. (2017) Glutamatergic deficit and schizophrenia-like negative symptoms: new evidence from ketamine-induced mismatch negativity alterations in healthy male humans. Journal of psychiatry & neuroscience : JPN, 4, 273-283.","BACKGROUND: Targeting the N-methyl-D-aspartate receptor (NMDAR) is a major
translational approach for treating negative symptoms of schizophrenia. Ketamine 
comprehensively produces schizophrenia-like symptoms, such as positive, cognitive
and negative symptoms in healthy volunteers. The amplitude of the mismatch
negativity (MMN) is known to be significantly reduced not only in patients with
schizophrenia, but also in healthy controls receiving ketamine. Accordingly, it
was the aim of the present study to investigate whether changes of MMN amplitudes
during ketamine administration are associated with the emergence of
schizophrenia-like negative symptoms in healthy volunteers.
METHODS: We examined the impact of ketamine during an MMN paradigm with
64-channel electroencephalography (EEG) and assessed the psychopathological
status using the Positive and Negative Syndrome Scale (PANSS) in healthy male
volunteers using a single-blind, randomized, placebo-controlled crossover design.
Low-resolution brain electromagnetic tomography was used for source localization.
RESULTS: Twenty-four men were included in our analysis. Significant reductions of
MMN amplitudes and an increase in all PANSS scores were identified under the
ketamine condition. Smaller MMN amplitudes were specifically associated with more
pronounced negative symptoms. Source analysis of MMN generators indicated a
significantly reduced current source density (CSD) under the ketamine condition
in the primary auditory cortex, the posterior cingulate and the middle frontal
gyrus.
LIMITATIONS: The sample included only men within a tight age range of 20-32
years.
CONCLUSION: The MMN might represent a biomarker for negative symptoms in
schizophrenia related to an insufficient NMDAR system and could be used to
identify patients with schizophrenia with negative symptoms due to NMDAR
dysfunction.",NULL,10.006,"mg + kg/min","""During the ketamine session, a subanesthetic dose of S-ketamine hydrochloride was administered intravenously in 0.9% sodium chloride (NaCl) solution using a syringe pump for a total duration of 75 minutes. Initial bolus of 10 mg over 5 minutes followed by a maintenance infusion of 0.006mg/kg/min. As ketamine plasma levels slowly increase with continuous infusion, the dosage was reduced by 10% every 10 minutes according to previously published protocols.""","Ketamine (S-Ketamine)",i.v.,12.60,20.59,26.63,19.96,30.22,17.66,47.17,22.17,34.20,19.43
314,20,0,180,NULL,NULL,5D-ASC(3D-OAV+2D),28940312,10.1111/acps.12818,"MÃ¼ller F","2017 Dec","MÃ¼ller, F., Lenz, C., Dolder, P., Lang, U., Schmidt, A., Liechti, M. & Borgwardt, S. (2017) Increased thalamic resting-state connectivity as a core driver of LSD-induced hallucinations. Acta psychiatrica Scandinavica, 6, 648-657.","OBJECTIVE: It has been proposed that the thalamocortical system is an important
site of action of hallucinogenic drugs and an essential component of the neural
correlates of consciousness. Hallucinogenic drugs such as LSD can be used to
induce profoundly altered states of consciousness, and it is thus of interest to 
test the effects of these drugs on this system.
METHOD: 100 Î¼g LSD was administrated orally to 20 healthy participants prior to
fMRI assessment. Whole brain thalamic functional connectivity was measured using 
ROI-to-ROI and ROI-to-voxel approaches. Correlation analyses were used to explore
relationships between thalamic connectivity to regions involved in auditory and
visual hallucinations and subjective ratings on auditory and visual drug effects.
RESULTS: LSD caused significant alterations in all dimensions of the 5D-ASC scale
and significantly increased thalamic functional connectivity to various cortical 
regions. Furthermore, LSD-induced functional connectivity measures between the
thalamus and the right fusiform gyrus and insula correlated significantly with
subjective auditory and visual drug effects.
CONCLUSION: Hallucinogenic drug effects might be provoked by facilitations of
cortical excitability via thalamocortical interactions. Our findings have
implications for the understanding of the mechanism of action of hallucinogenic
drugs and provide further insight into the role of the 5-HT2A -receptor in
altered states of consciousness.",NULL,100,µg,"""We used a randomised, placebo-controlled, double-blind cross-over design and a washout period of at least 7 days between the two study sessions. Placebo and LSD were administered orally at 9:00 am.""",LSD,oral,26.82,26.63,27.42,15.96,44.78,25.03,49.26,20.74,46.67,23.04
315,25,0,420,NULL,NULL,5D-ASC(3D-OAV+2D),29020861,10.1177/0269881117731279,"Griffiths RR","2018 Jan","Griffiths, R.R., Johnson, M.W., Richards, W.A., Richards, B.D., Jesse, R., MacLean, K.A., Barrett, F.S., Cosimano, M.P. & Klinedinst, M.A. (2018) Psilocybin-occasioned mystical-type experience in combination with meditation and other spiritual practices produces enduring positive changes in psychological functioning and in trait measures of prosocial attitudes and behaviors. Journal of psychopharmacology (Oxford, England), 1, 49-69.","Psilocybin can occasion mystical-type experiences with participant-attributed
increases in well-being. However, little research has examined enduring changes
in traits. This study administered psilocybin to participants who undertook a
program of meditation/spiritual practices. Healthy participants were randomized
to three groups (25 each): (1) very low-dose (1 mg/70 kg on sessions 1 and 2)
with moderate-level (""standard"") support for spiritual-practice (LD-SS); (2)
high-dose (20 and 30 mg/70 kg on sessions 1 and 2, respectively) with standard
support (HD-SS); and (3) high-dose (20 and 30 mg/70kg on sessions 1 and 2,
respectively) with high support for spiritual practice (HD-HS). Psilocybin was
administered double-blind and instructions to participants/staff minimized
expectancy confounds. Psilocybin was administered 1 and 2 months after
spiritual-practice initiation. Outcomes at 6 months included rates of spiritual
practice and persisting effects of psilocybin. Compared with low-dose, high-dose 
psilocybin produced greater acute and persisting effects. At 6 months, compared
with LD-SS, both high-dose groups showed large significant positive changes on
longitudinal measures of interpersonal closeness, gratitude, life
meaning/purpose, forgiveness, death transcendence, daily spiritual experiences,
religious faith and coping, and community observer ratings. Determinants of
enduring effects were psilocybin-occasioned mystical-type experience and rates of
meditation/spiritual practices. Psilocybin can occasion enduring trait-level
increases in prosocial attitudes/behaviors and in healthy psychological
functioning. Trial Registration ClinicalTrials.gov Identifier NCT00802282.",NULL,"440 + 1","minutes + mg/70kg","Psilocybin doses were prepared in opaque, size 0 gelatin capsules of identical appearance, with lactose as the inactive capsule filler. On each session, a single capsule was administered with 180 mL water. The total guide–participant contact hours for those in the Standard-Support groups from study acceptance to the 6-month follow-up was about 7 hours and 20 minutes. The total guide–participant contact hours for the High-Support group from study acceptance to the 6-month follow-up was 35 hours. + Psilocybin doses were prepared in opaque, size 0 gelatin capsules of identical appearance, with lactose as the inactive capsule filler. On each session, a single capsule was administered with 180 mL water. The total guide–participant contact hours for those in the Standard-Support groups from study acceptance to the 6-month follow-up was about 7 hours and 20 minutes. The total guide–participant contact hours for the High-Support group from study acceptance to the 6-month follow-up was 35 hours.","Meditation + Psilocybin","n/a + capsule (oral)",4.45,6.25,4.73,4.55,16.54,17.70,20.86,12.65,16.90,17.30
316,25,0,420,NULL,NULL,5D-ASC(3D-OAV+2D),29020861,10.1177/0269881117731279,"Griffiths RR","2018 Jan","Griffiths, R.R., Johnson, M.W., Richards, W.A., Richards, B.D., Jesse, R., MacLean, K.A., Barrett, F.S., Cosimano, M.P. & Klinedinst, M.A. (2018) Psilocybin-occasioned mystical-type experience in combination with meditation and other spiritual practices produces enduring positive changes in psychological functioning and in trait measures of prosocial attitudes and behaviors. Journal of psychopharmacology (Oxford, England), 1, 49-69.","Psilocybin can occasion mystical-type experiences with participant-attributed
increases in well-being. However, little research has examined enduring changes
in traits. This study administered psilocybin to participants who undertook a
program of meditation/spiritual practices. Healthy participants were randomized
to three groups (25 each): (1) very low-dose (1 mg/70 kg on sessions 1 and 2)
with moderate-level (""standard"") support for spiritual-practice (LD-SS); (2)
high-dose (20 and 30 mg/70 kg on sessions 1 and 2, respectively) with standard
support (HD-SS); and (3) high-dose (20 and 30 mg/70kg on sessions 1 and 2,
respectively) with high support for spiritual practice (HD-HS). Psilocybin was
administered double-blind and instructions to participants/staff minimized
expectancy confounds. Psilocybin was administered 1 and 2 months after
spiritual-practice initiation. Outcomes at 6 months included rates of spiritual
practice and persisting effects of psilocybin. Compared with low-dose, high-dose 
psilocybin produced greater acute and persisting effects. At 6 months, compared
with LD-SS, both high-dose groups showed large significant positive changes on
longitudinal measures of interpersonal closeness, gratitude, life
meaning/purpose, forgiveness, death transcendence, daily spiritual experiences,
religious faith and coping, and community observer ratings. Determinants of
enduring effects were psilocybin-occasioned mystical-type experience and rates of
meditation/spiritual practices. Psilocybin can occasion enduring trait-level
increases in prosocial attitudes/behaviors and in healthy psychological
functioning. Trial Registration ClinicalTrials.gov Identifier NCT00802282.",NULL,"440 + 0.666666666","minutes + mg/70kg","Psilocybin doses were prepared in opaque, size 0 gelatin capsules of identical appearance, with lactose as the inactive capsule filler. On each session, a single capsule was administered with 180 mL water. The total guide–participant contact hours for those in the Standard-Support groups from study acceptance to the 6-month follow-up was about 7 hours and 20 minutes. The total guide–participant contact hours for the High-Support group from study acceptance to the 6-month follow-up was 35 hours. + Psilocybin doses were prepared in opaque, size 0 gelatin capsules of identical appearance, with lactose as the inactive capsule filler. On each session, a single capsule was administered with 180 mL water. The total guide–participant contact hours for those in the Standard-Support groups from study acceptance to the 6-month follow-up was about 7 hours and 20 minutes. The total guide–participant contact hours for the High-Support group from study acceptance to the 6-month follow-up was 35 hours.","Meditation + Psilocybin","n/a + capsule (oral)",17.04,13.65,20.92,15.15,61.47,27.80,32.76,14.70,57.68,26.20
317,25,0,420,NULL,NULL,5D-ASC(3D-OAV+2D),29020861,10.1177/0269881117731279,"Griffiths RR","2018 Jan","Griffiths, R.R., Johnson, M.W., Richards, W.A., Richards, B.D., Jesse, R., MacLean, K.A., Barrett, F.S., Cosimano, M.P. & Klinedinst, M.A. (2018) Psilocybin-occasioned mystical-type experience in combination with meditation and other spiritual practices produces enduring positive changes in psychological functioning and in trait measures of prosocial attitudes and behaviors. Journal of psychopharmacology (Oxford, England), 1, 49-69.","Psilocybin can occasion mystical-type experiences with participant-attributed
increases in well-being. However, little research has examined enduring changes
in traits. This study administered psilocybin to participants who undertook a
program of meditation/spiritual practices. Healthy participants were randomized
to three groups (25 each): (1) very low-dose (1 mg/70 kg on sessions 1 and 2)
with moderate-level (""standard"") support for spiritual-practice (LD-SS); (2)
high-dose (20 and 30 mg/70 kg on sessions 1 and 2, respectively) with standard
support (HD-SS); and (3) high-dose (20 and 30 mg/70kg on sessions 1 and 2,
respectively) with high support for spiritual practice (HD-HS). Psilocybin was
administered double-blind and instructions to participants/staff minimized
expectancy confounds. Psilocybin was administered 1 and 2 months after
spiritual-practice initiation. Outcomes at 6 months included rates of spiritual
practice and persisting effects of psilocybin. Compared with low-dose, high-dose 
psilocybin produced greater acute and persisting effects. At 6 months, compared
with LD-SS, both high-dose groups showed large significant positive changes on
longitudinal measures of interpersonal closeness, gratitude, life
meaning/purpose, forgiveness, death transcendence, daily spiritual experiences,
religious faith and coping, and community observer ratings. Determinants of
enduring effects were psilocybin-occasioned mystical-type experience and rates of
meditation/spiritual practices. Psilocybin can occasion enduring trait-level
increases in prosocial attitudes/behaviors and in healthy psychological
functioning. Trial Registration ClinicalTrials.gov Identifier NCT00802282.",NULL,"2100 + 0.666666666","minutes + mg/70kg","Psilocybin doses were prepared in opaque, size 0 gelatin capsules of identical appearance, with lactose as the inactive capsule filler. On each session, a single capsule was administered with 180 mL water. The total guide–participant contact hours for those in the Standard-Support groups from study acceptance to the 6-month follow-up was about 7 hours and 20 minutes. The total guide–participant contact hours for the High-Support group from study acceptance to the 6-month follow-up was 35 hours. + Psilocybin doses were prepared in opaque, size 0 gelatin capsules of identical appearance, with lactose as the inactive capsule filler. On each session, a single capsule was administered with 180 mL water. The total guide–participant contact hours for those in the Standard-Support groups from study acceptance to the 6-month follow-up was about 7 hours and 20 minutes. The total guide–participant contact hours for the High-Support group from study acceptance to the 6-month follow-up was 35 hours.","Meditation + Psilocybin","n/a + capsule (oral)",19.17,20.10,22.25,22.10,69.50,19.00,32.05,17.60,61.69,17.20
327,21,0,"before and after intervention ",NULL,healthy,5D-ASC(3D-OAV+2D),21723949,doi:10.1016/j.neuroimage.2011.06.045,"Musso F","2011 Sep 15","Musso, F., Brinkmeyer, J., Ecker, D., London, M.K., Thieme, G., Warbrick, T., Wittsack, H.J., Saleh, A., Greb, W., de Boer, P. & Winterer, G. (2011) Ketamine effects on brain function--simultaneous fMRI/EEG during a visual oddball task. NeuroImage, 2, 508-25.","BACKGROUND: Behavioral and electrophysiological human ketamine models of
schizophrenia are used for testing compounds that target the glutamatergic
system. However, corresponding functional neuroimaging models are difficult to
reconcile with functional imaging and electrophysiological findings in
schizophrenia. Resolving the discrepancies between different observational levels
is critical to understand the complex pharmacological ketamine action and its
usefulness for modeling schizophrenia pathophysiology.
METHODS: We conducted a within-subject, randomized, placebo-controlled
pharmacoimaging study in twenty-four male volunteers. Subjects were given
low-dose S-ketamine (bolus prior to functional imaging: 0.1mg/kg during 5min,
thereafter continuous infusion: 0.015625mg/kg/min reduced by 10% every ten
minutes) or placebo while performing a visual oddball task during simultaneous
functional magnetic resonance imaging (fMRI) with continuous recording of
event-related potentials (P300) and electrodermal activity (EDA). Before and
after intervention, psychopathological status was assessed using the Positive and
Negative Syndrome Scale (PANSS) and the Altered State of Consciousness (5D-ASC)
Rating Scale.
RESULTS: P300 amplitude and corresponding BOLD responses were diminished in the
ketamine condition in cortical regions being involved in sensory
processing/selective attention. In both measurement modalities separation of drug
conditions was achieved with area under the curve (AUC) values of up to 0.8-0.9. 
Ketamine effects were also observed in the clinical, behavioral and peripheral
physiological domains (Positive and Negative Syndrome Scale, reaction hit and
false alarm rate, electrodermal activity and heart rate) which were in part
related to the P300/fMRI measures.
CONCLUSION: The findings from our ketamine experiment are consistent across
modalities and directly related to observations in schizophrenia supporting the
validity of the model. Our investigation provides the first prototypic example of
a pharmacoimaging study using simultaneously acquired fMRI/EEG.",NULL,0.115625,"mg/kg + mg/kg/min","S-ketamine was administered as a bolus (0.1 mg/kg during 5 min) immediately before measurements in the MRI scanner. Thereafter, the infusion was stopped for one minute. During the subsequent MR measurements, a continuous infusion of S-ketamine (0.015625 mg/kg/min for the duration of the investigation, i.e., 1 h maximum) was carried out","Ketamine (S-Ketamine)",i.v.,20.36,24.94,31.23,26.72,31.24,25.12,45.17,33.93,24.17,25.30
332,19,0,NULL,NULL,healthy,5D-ASC(3D-OAV+2D),22030715,10.1038/npp.2011.261,"Schmidt A","2012 Mar","Schmidt, A., Bachmann, R., Kometer, M., Csomor, P.A., Stephan, K.E., Seifritz, E. & Vollenweider, F.X. (2012) Mismatch negativity encoding of prediction errors predicts S-ketamine-induced cognitive impairments. Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology, 4, 865-75.","Psychotomimetics like the N-methyl-D-aspartate receptor (NMDAR) antagonist
ketamine and the 5-hydroxytryptamine2A receptor (5-HT(2A)R) agonist psilocybin
induce psychotic symptoms in healthy volunteers that resemble those of
schizophrenia. Recent theories of psychosis posit that aberrant encoding of
prediction errors (PE) may underlie the expression of psychotic symptoms. This
study used a roving mismatch negativity (MMN) paradigm to investigate whether the
encoding of PE is affected by pharmacological manipulation of NMDAR or 5-HT(2A)R,
and whether the encoding of PE under placebo can be used to predict drug-induced 
symptoms. Using a double-blind within-subject placebo-controlled design,
S-ketamine and psilocybin, respectively, were administrated to two groups of
healthy subjects. Psychological alterations were assessed using a revised version
of the Altered States of Consciousness (ASC-R) questionnaire. As an index of PE, 
we computed changes in MMN amplitudes as a function of the number of preceding
standards (MMN memory trace effect) during a roving paradigm. S-ketamine, but not
psilocybin, disrupted PE processing as expressed by a frontally disrupted MMN
memory trace effect. Although both drugs produced positive-like symptoms, the
extent of PE processing under placebo only correlated significantly with the
severity of cognitive impairments induced by S-ketamine. Our results suggest that
the NMDAR, but not the 5-HT(2A)R system, is implicated in PE processing during
the MMN paradigm, and that aberrant PE signaling may contribute to the formation 
of cognitive impairments. The assessment of the MMN memory trace in schizophrenia
may allow detecting early phases of the illness and might also serve to assess
the efficacy of novel pharmacological treatments, in particular of cognitive
impairments.",NULL,10.006,"mg/5min + mg/kg/min
","bolus injection over 5 min with 10 mg of ketamine was given. Following 1 min break, a continuous infusion with
0.006mg/kg per min was started","Ketamine (S-Ketamine)",i.v.,14.13,16.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
333,20,0,NULL,NULL,healthy,5D-ASC(3D-OAV+2D),22030715,10.1038/npp.2011.261,"Schmidt A","2012 Mar","Schmidt, A., Bachmann, R., Kometer, M., Csomor, P.A., Stephan, K.E., Seifritz, E. & Vollenweider, F.X. (2012) Mismatch negativity encoding of prediction errors predicts S-ketamine-induced cognitive impairments. Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology, 4, 865-75.","Psychotomimetics like the N-methyl-D-aspartate receptor (NMDAR) antagonist
ketamine and the 5-hydroxytryptamine2A receptor (5-HT(2A)R) agonist psilocybin
induce psychotic symptoms in healthy volunteers that resemble those of
schizophrenia. Recent theories of psychosis posit that aberrant encoding of
prediction errors (PE) may underlie the expression of psychotic symptoms. This
study used a roving mismatch negativity (MMN) paradigm to investigate whether the
encoding of PE is affected by pharmacological manipulation of NMDAR or 5-HT(2A)R,
and whether the encoding of PE under placebo can be used to predict drug-induced 
symptoms. Using a double-blind within-subject placebo-controlled design,
S-ketamine and psilocybin, respectively, were administrated to two groups of
healthy subjects. Psychological alterations were assessed using a revised version
of the Altered States of Consciousness (ASC-R) questionnaire. As an index of PE, 
we computed changes in MMN amplitudes as a function of the number of preceding
standards (MMN memory trace effect) during a roving paradigm. S-ketamine, but not
psilocybin, disrupted PE processing as expressed by a frontally disrupted MMN
memory trace effect. Although both drugs produced positive-like symptoms, the
extent of PE processing under placebo only correlated significantly with the
severity of cognitive impairments induced by S-ketamine. Our results suggest that
the NMDAR, but not the 5-HT(2A)R system, is implicated in PE processing during
the MMN paradigm, and that aberrant PE signaling may contribute to the formation 
of cognitive impairments. The assessment of the MMN memory trace in schizophrenia
may allow detecting early phases of the illness and might also serve to assess
the efficacy of novel pharmacological treatments, in particular of cognitive
impairments.",NULL,115,µg/kg,"Psilocybin was given per os at a dose of 115 μg/kg. The specific doses were chosen based on previous studies",Psilocybin,"capsule (oral)",3.40,3.66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
336,16,0,240,NULL,healthy,5D-ASC(3D-OAV+2D),22404145,DOI:10.1111/j.1476-5381.2012.01936.x,"Hysek C","2012 Aug","Hysek, C., Schmid, Y., Rickli, A., Simmler, L.D., Donzelli, M., Grouzmann, E. & Liechti, M.E. (2012) Carvedilol inhibits the cardiostimulant and thermogenic effects of MDMA in humans. British journal of pharmacology, 8, 2277-88.","BACKGROUND AND PURPOSE: The use of Â± 3,4-methylenedioxymethamphetamine (MDMA,
'ecstasy') is associated with cardiovascular complications and hyperthermia.
EXPERIMENTAL APPROACH: We assessed the effects of the Î±(1) - and Î²-adrenoceptor
antagonist carvedilol on the cardiostimulant, thermogenic and subjective
responses to MDMA in 16 healthy subjects. Carvedilol (50 mg) or placebo was
administered 1 h before MDMA (125 mg) or placebo using a randomized,
double-blind, placebo-controlled, four-period crossover design. KEY RESULTS
Carvedilol reduced MDMA-induced elevations in blood pressure, heart rate and body
temperature. Carvedilol did not affect the subjective effects of MDMA including
MDMA-induced good drug effects, drug high, drug liking, stimulation or adverse
effects. Carvedilol did not alter the plasma exposure to MDMA.
CONCLUSIONS AND IMPLICATIONS: Î±(1) - and Î²-Adrenoceptors contribute to the
cardiostimulant and thermogenic effects of MDMA in humans but not to its
psychotropic effects. Carvedilol could be useful in the treatment of
cardiovascular and hyperthermic complications associated with ecstasy use.",NULL,50,μg/kg,"MDMA hydrochloride (Lipomed AG, Arlesheim, Switzerland) was prepared as gelatine capsules (100 and 25 mg of the salt). Identical placebo (lactose) capsules were prepared. MDMA was administered in a single oral dose of 125 mg, corresponding to a dose of 1.93 ± 0.36 mg·kg-1 body weight. Carvedilol tablets (50 mg, Dilatrend, Roche Pharma AG, Basel, Switzerland) were encapsulated within opaque gelatine capsules, and identical placebo (lactose) capsules were prepared. ",Carvedilol,"capsule (oral)",NULL,NULL,0.00,0.00,0.00,0.00,NULL,NULL,0.00,0.00
337,16,0,240,NULL,healthy,5D-ASC(3D-OAV+2D),22404145,DOI:10.1111/j.1476-5381.2012.01936.x,"Hysek C","2012 Aug","Hysek, C., Schmid, Y., Rickli, A., Simmler, L.D., Donzelli, M., Grouzmann, E. & Liechti, M.E. (2012) Carvedilol inhibits the cardiostimulant and thermogenic effects of MDMA in humans. British journal of pharmacology, 8, 2277-88.","BACKGROUND AND PURPOSE: The use of Â± 3,4-methylenedioxymethamphetamine (MDMA,
'ecstasy') is associated with cardiovascular complications and hyperthermia.
EXPERIMENTAL APPROACH: We assessed the effects of the Î±(1) - and Î²-adrenoceptor
antagonist carvedilol on the cardiostimulant, thermogenic and subjective
responses to MDMA in 16 healthy subjects. Carvedilol (50 mg) or placebo was
administered 1 h before MDMA (125 mg) or placebo using a randomized,
double-blind, placebo-controlled, four-period crossover design. KEY RESULTS
Carvedilol reduced MDMA-induced elevations in blood pressure, heart rate and body
temperature. Carvedilol did not affect the subjective effects of MDMA including
MDMA-induced good drug effects, drug high, drug liking, stimulation or adverse
effects. Carvedilol did not alter the plasma exposure to MDMA.
CONCLUSIONS AND IMPLICATIONS: Î±(1) - and Î²-Adrenoceptors contribute to the
cardiostimulant and thermogenic effects of MDMA in humans but not to its
psychotropic effects. Carvedilol could be useful in the treatment of
cardiovascular and hyperthermic complications associated with ecstasy use.",NULL,125,μg/kg,"MDMA hydrochloride (Lipomed AG, Arlesheim, Switzerland) was prepared as gelatine capsules (100 and 25 mg of the salt). Identical placebo (lactose) capsules were prepared. MDMA was administered in a single oral dose of 125 mg, corresponding to a dose of 1.93 ± 0.36 mg·kg-1 body weight. Carvedilol tablets (50 mg, Dilatrend, Roche Pharma AG, Basel, Switzerland) were encapsulated within opaque gelatine capsules, and identical placebo (lactose) capsules were prepared. ",MDMA,"capsule (oral)",NULL,NULL,9.14,14.29,16.15,17.63,NULL,NULL,6.61,7.33
